Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Bentley Bentayga Speed 6.0 L, 12 cyl, Automatic (S8), Turbo, Premium Gasoline",,14MPG1218combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,18,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650","$259,400",21.3 barrels/yr,616 grams/mile, 315 milesTotal Range
"2022 Bentley Continental GT Speed Convertible 6.0 L, 12 cyl, Automatic (AM-S8), Turbo, Premium Gasoline",,14MPG1218combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,18,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650","$311,100",21.3 barrels/yr,636 grams/mile, 336 milesTotal Range
"2022 Ford GT 3.5 L, 6 cyl, Automatic (AM7), Turbo, Premium Gasoline",,14MPG1218combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,18,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650", ,21.3 barrels/yr,632 grams/mile, 224 milesTotal Range
"2022 Ford Shelby GT500 Mustang 5.2 L, 8 cyl, Automatic (AM-S7), Supercharger, Premium Gasoline",,14MPG1218combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,18,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650","$80,915",21.3 barrels/yr,631 grams/mile, 224 milesTotal Range
"2022 Lamborghini Urus 4.0 L, 8 cyl, Automatic (S8), Turbo, Premium Gasoline",,14MPG1217combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,17,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650","$221,506 – $245,381",21.3 barrels/yr,617 grams/mile, 277 milesTotal Range
"2022 Ferrari 812 Competizione 6.5 L, 12 cyl, Automatic (AM7), Premium Gasoline",,14MPG1216combined city/hwycityhwy7.1 gal/100 mi,,14,MPG,12,16,,combined city/hwy,city,hwy,7.1 gal/100 mi,NA,,"$4,650", ,21.3 barrels/yr,652 grams/mile,Range not available
"2022 Ferrari 812 GTS 6.5 L, 12 cyl, Automatic (AM7), Premium Gasoline",,13MPG1215combined city/hwycityhwy7.7 gal/100 mi,,13,MPG,12,15,,combined city/hwy,city,hwy,7.7 gal/100 mi,NA,,"$5,050", ,22.9 barrels/yr,665 grams/mile,Range not available
"2022 Ram 1500 TRX 4WD 6.2 L, 8 cyl, Automatic 8-spd, Supercharger, Premium Gasoline",,12MPG1014combined city/hwycityhwy8.3 gal/100 mi,,12,MPG,10,14,,combined city/hwy,city,hwy,8.3 gal/100 mi,NA,,"$5,450","$78,790",24.8 barrels/yr,748 grams/mile, 396 milesTotal Range
"2022 Lamborghini Aventador Countach 6.5 L, 12 cyl, Automatic (AM-S7), Premium Gasoline",,11MPG916combined city/hwycityhwy9.1 gal/100 mi,,11,MPG,9,16,,combined city/hwy,city,hwy,9.1 gal/100 mi,NA,,"$5,950", ,27.0 barrels/yr,787 grams/mile,Range not available
"2022 Lamborghini Aventador Coupe 6.5 L, 12 cyl, Automatic (AM-S7), Premium Gasoline",,11MPG916combined city/hwycityhwy9.1 gal/100 mi,,11,MPG,9,16,,combined city/hwy,city,hwy,9.1 gal/100 mi,NA,,"$5,950","$498,258",27.0 barrels/yr,802 grams/mile,Range not available
"2022 Lamborghini Aventador Roadster 6.5 L, 12 cyl, Automatic (AM-S7), Premium Gasoline",,11MPG916combined city/hwycityhwy9.1 gal/100 mi,,11,MPG,9,16,,combined city/hwy,city,hwy,9.1 gal/100 mi,NA,,"$5,950","$546,847",27.0 barrels/yr,802 grams/mile,Range not available
"2022 Bugatti Chiron 8.0 L, 16 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,11MPG914combined city/hwycityhwy9.1 gal/100 mi,,11,MPG,9,14,,combined city/hwy,city,hwy,9.1 gal/100 mi,NA,,"$5,950", ,27.0 barrels/yr,840 grams/mile,Range not available
"2022 Bugatti Chiron Pur Sport 8.0 L, 16 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,9MPG811combined city/hwycityhwy11.1 gal/100 mi,,9,MPG,8,11,,combined city/hwy,city,hwy,11.1 gal/100 mi,NA,,"$7,250", ,33.1 barrels/yr,979 grams/mile,Range not available
"2022 Bugatti Chiron Super Sport 8.0 L, 16 cyl, Automatic (AM-S7), Turbo, Premium Gasoline",,9MPG811combined city/hwycityhwy11.1 gal/100 mi,,9,MPG,8,11,,combined city/hwy,city,hwy,11.1 gal/100 mi,NA,,"$7,250", ,33.1 barrels/yr,979 grams/mile,Range not available
