Vehicle,PaymentYear,TotalPayment
Lucid Air Dream P AWD w/21 inch wheelsAutomatic (A1),12,7800.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),1,9900.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),2,19800.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),3,29700.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),4,39600.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),5,49500.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),6,50150.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),7,50800.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),8,51450.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),9,52100.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),10,52750.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),11,53400.0
Hyundai Ioniq 5 RWD (Standard Range)Automatic (A1),12,54050.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),1,650.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),2,1300.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),3,1950.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),4,2600.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),5,3250.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),6,3900.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),7,4550.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),8,5200.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),9,5850.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),10,6500.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),11,7150.0
MINI Cooper SE Hardtop 2 doorAutomatic (A1),12,7800.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),1,11730.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),2,23460.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),3,35190.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),4,46920.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),5,58650.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),6,59300.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),7,59950.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),8,60600.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),9,61250.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),10,61900.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),11,62550.0
BMW i4 eDrive40 Gran Coupe (18 inch wheels)Automatic (A1),12,63200.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),1,8130.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),2,16260.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),3,24390.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),4,32520.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),5,40650.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),6,41300.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),7,41950.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),8,42600.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),9,43250.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),10,43900.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),11,44550.0
Nissan Leaf (62 kW-hr battery pack)Automatic (A1),12,45200.0
Volkswagen ID.4 ProAutomatic (A1),1,8896.0
Volkswagen ID.4 ProAutomatic (A1),2,17792.0
Volkswagen ID.4 ProAutomatic (A1),3,26688.0
Volkswagen ID.4 ProAutomatic (A1),4,35584.0
Volkswagen ID.4 ProAutomatic (A1),5,44480.0
Volkswagen ID.4 ProAutomatic (A1),6,45130.0
Volkswagen ID.4 ProAutomatic (A1),7,45780.0
Volkswagen ID.4 ProAutomatic (A1),8,46430.0
Volkswagen ID.4 ProAutomatic (A1),9,47080.0
Volkswagen ID.4 ProAutomatic (A1),10,47730.0
Volkswagen ID.4 ProAutomatic (A1),11,48380.0
Volkswagen ID.4 ProAutomatic (A1),12,49030.0
